number of nodes,number of edges,depth,width,diameter
20,19,9,3,10
34,33,13,5,14
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
46,45,12,6,18
8,7,4,3,5
6,5,2,3,4
6,5,2,3,4
15,14,6,5,8
3,2,1,2,2
71,70,30,5,31
30,29,14,5,15
278,277,57,11,61
114,113,21,12,28
166,165,44,9,45
6,5,3,3,4
77,76,22,8,28
8,7,3,3,5
27,26,12,4,13
6,5,3,3,4
8,7,4,3,5
14,13,6,3,7
3,2,1,2,2
1,0,1,1,-1
19,18,7,5,8
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
32,31,13,7,14
3,2,1,2,2
3,2,1,2,2
20,19,9,3,10
4,3,2,2,2
4,3,2,2,3
3,2,1,2,2
5,4,2,3,3
7,6,3,3,4
6,5,3,3,4
37,36,15,5,17
11,10,6,3,7
11,10,5,3,6
23,22,12,3,13
31,30,8,6,16
10,9,6,3,7
1,0,1,1,-1
9,8,4,4,5
23,22,9,5,11
19,18,9,4,9
1,0,1,1,-1
20,19,8,5,9
19,18,7,5,8
6,5,3,3,4
9,8,5,2,6
7,6,3,3,4
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
18,17,9,3,10
8,7,4,3,5
25,24,8,7,10
6,5,3,3,4
24,23,9,5,13
3,2,1,2,2
25,24,8,5,11
6,5,3,3,4
6,5,3,3,4
24,23,10,4,11
1,0,1,1,-1
8,7,4,3,5
8,7,4,3,5
17,16,4,6,7
12,11,4,4,8
12,11,4,4,8
12,11,4,4,8
3,2,1,2,2
10,9,6,2,7
10,9,6,2,7
15,14,5,5,9
10,9,6,2,7
10,9,6,2,7
1,0,1,1,-1
11,10,4,3,6
6,5,3,3,4
3,2,1,2,2
6,5,3,3,4
8,7,4,3,5
110,109,35,9,38
11,10,5,3,7
17,16,8,3,9
12,11,6,3,7
44,43,15,6,16
15,14,6,5,7
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
28,27,10,6,12
1,0,1,1,-1
44,43,18,5,20
24,23,11,3,12
1,0,1,1,-1
16,15,7,3,9
1,0,1,1,-1
35,34,10,6,17
1,0,1,1,-1
8,7,3,3,4
12,11,6,3,7
1,0,1,1,-1
50,49,21,5,23
1,0,1,1,-1
135,134,45,9,47
1,0,1,1,-1
56,55,15,8,16
10,9,5,3,6
16,15,7,3,8
1,0,1,1,-1
19,18,6,5,10
1,0,1,1,-1
100,99,29,8,30
1,0,1,1,-1
36,35,16,4,18
1,0,1,1,-1
52,51,25,3,27
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
6,5,3,3,4
8,7,4,3,5
13,12,7,3,8
35,34,11,7,12
3,2,1,2,2
8,7,4,3,5
3,2,1,2,2
8,7,4,3,5
3,2,1,2,2
22,21,10,3,12
12,11,6,3,7
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
39,38,12,6,16
55,54,15,8,21
17,16,7,5,9
3,2,1,2,2
3,2,1,2,2
24,23,11,5,12
50,49,17,6,21
23,22,11,3,13
35,34,11,5,15
39,38,10,13,11
1,0,1,1,-1
45,44,15,6,19
21,20,7,5,9
6,5,2,3,4
8,7,4,3,5
6,5,2,3,4
8,7,4,3,5
6,5,2,3,4
8,7,4,3,5
3,2,1,2,2
14,13,5,4,7
8,7,4,3,5
3,2,1,2,2
8,7,4,3,5
8,7,4,3,5
4,3,2,2,3
1,0,1,1,-1
8,7,4,3,5
8,7,4,3,5
36,35,15,4,16
3,2,1,2,2
3,2,1,2,2
20,19,10,3,11
14,13,6,5,7
10,9,5,3,6
11,10,4,3,5
19,18,8,3,10
13,12,6,3,8
4,3,2,2,2
9,8,4,3,5
12,11,4,4,6
8,7,3,3,4
3,2,1,2,2
24,23,10,3,11
6,5,3,3,4
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
12,11,6,3,7
3,2,1,2,2
15,14,6,3,7
23,22,11,4,12
3,2,1,2,2
6,5,2,3,4
3,2,1,2,2
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
57,56,19,6,22
50,49,21,4,24
3,2,1,2,2
31,30,12,5,14
19,18,7,5,9
6,5,3,3,4
6,5,2,3,4
3,2,1,2,2
6,5,2,3,4
3,2,1,2,2
1,0,1,1,-1
54,53,18,6,21
48,47,20,4,23
3,2,1,2,2
3,2,1,2,2
11,10,5,3,6
22,21,9,4,11
3,2,1,2,2
6,5,3,3,4
45,44,16,4,18
35,34,13,6,14
25,24,12,3,13
26,25,12,3,13
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
4,3,2,2,3
3,2,1,2,2
39,38,13,6,14
31,30,14,4,15
35,34,13,6,14
19,18,9,3,10
5,4,2,2,3
32,31,14,4,14
4,3,2,2,3
34,33,12,6,13
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
6,5,2,3,4
3,2,1,2,2
10,9,5,3,6
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
5,4,2,2,3
8,7,4,3,5
12,11,5,4,7
6,5,3,3,4
4,3,2,2,3
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
6,5,3,3,4
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
6,5,2,3,4
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
8,7,4,2,4
3,2,1,2,2
9,8,5,3,6
5,4,2,3,3
3,2,1,2,2
3,2,1,2,2
4,3,2,2,3
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
13,12,8,3,9
35,34,13,4,14
32,31,13,4,14
11,10,4,4,6
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
23,22,9,4,11
29,28,13,4,14
22,21,8,4,10
113,112,33,9,34
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
11,10,3,5,6
6,5,3,3,4
6,5,3,3,4
3,2,1,2,2
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
19,18,9,3,10
1,0,1,1,-1
3,2,1,2,2
38,37,16,5,17
12,11,5,3,7
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
57,56,26,6,27
3,2,1,2,2
8,7,4,3,5
8,7,4,3,5
29,28,6,9,9
23,22,10,5,11
23,22,6,7,9
27,26,9,6,10
25,24,8,5,9
18,17,8,4,9
35,34,13,6,14
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
4,3,2,2,3
21,20,4,9,7
1,0,1,1,-1
18,17,9,3,10
3,2,1,2,2
11,10,5,3,6
10,9,5,3,6
14,13,7,4,8
3,2,1,2,2
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
5,4,2,3,3
3,2,1,2,2
1,0,1,1,-1
8,7,4,3,5
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
17,16,8,4,9
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
11,10,5,3,6
3,2,1,2,2
30,29,13,4,15
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
15,14,6,3,7
8,7,4,3,5
13,12,6,3,7
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
7,6,4,2,5
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,5
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
47,46,13,6,16
40,39,15,8,16
3,2,1,2,2
10,9,4,3,6
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
11,10,5,3,7
1,0,1,1,-1
9,8,4,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
19,18,9,4,10
12,11,4,5,7
1,0,1,1,-1
17,16,7,3,8
12,11,5,3,6
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
23,22,8,5,10
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
102,101,30,9,32
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
13,12,5,5,7
14,13,7,3,8
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,4,5
8,7,4,3,5
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
23,22,7,6,9
11,10,5,3,6
1,0,1,1,-1
1,0,1,1,-1
34,33,12,7,15
1,0,1,1,-1
5,4,2,3,3
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
12,11,5,3,6
4,3,2,2,3
17,16,5,6,8
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
8,7,4,3,5
6,5,3,3,4
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,5
29,28,11,5,13
6,5,2,3,4
3,2,1,2,2
12,11,5,3,7
3,2,1,2,2
22,21,8,5,11
11,10,5,3,7
11,10,5,3,7
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
28,27,10,6,11
17,16,8,3,9
1,0,1,1,-1
1,0,1,1,-1
70,69,25,6,28
105,104,40,6,41
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
15,14,5,5,9
37,36,14,5,16
92,91,24,10,26
13,12,5,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
25,24,8,6,10
63,62,26,4,28
63,62,26,4,28
3,2,1,2,2
3,2,1,2,2
24,23,12,3,13
24,23,12,3,13
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
18,17,6,5,9
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
6,5,2,3,4
43,42,18,5,20
3,2,1,2,2
3,2,1,2,2
10,9,4,3,6
6,5,3,3,4
39,38,15,5,16
52,51,18,6,19
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
3,2,1,2,2
22,21,8,5,10
12,11,5,3,7
27,26,10,4,12
25,24,9,4,12
7,6,4,2,5
49,48,19,6,19
16,15,6,4,8
20,19,7,5,8
92,91,32,8,34
24,23,8,5,10
16,15,7,3,8
3,2,1,2,2
1,0,1,1,-1
8,7,3,4,5
23,22,7,5,10
1,0,1,1,-1
15,14,7,3,9
6,5,2,3,4
25,24,8,5,11
10,9,4,5,6
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
10,9,5,3,6
1,0,1,1,-1
8,7,4,3,5
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,3,4,5
3,2,1,2,2
8,7,3,4,5
9,8,4,4,6
