              precision    recall  f1-score   support

 BFS-EQ-16-0       0.66      0.34      0.45 17842.29999999984
 DFS-ES-16-0       0.24      0.91      0.38 17842.300000000247
 BFS-EQ-64-0       0.69      0.13      0.21 17842.299999998406
  DFS-LL-0-0       0.35      0.84      0.49 17842.300000000043
DFS-ES-256-0       0.73      0.09      0.16 17842.299999996972
 DFS-ES-64-0       0.75      0.07      0.12 17842.29999999868
BFS-EQ-256-0       0.75      0.30      0.42 17842.300000004292
  BFS-AD-0-0       0.31      0.33      0.32 17842.299999968593
  BFS-LL-0-0       0.45      0.60      0.51 17842.300000000865
  DFS-AD-0-0       0.65      0.10      0.17 17842.29999999981

    accuracy                           0.37 178422.99999996775
   macro avg       0.56      0.37      0.32 178422.99999996775
weighted avg       0.56      0.37      0.32 178422.99999996775
