              precision    recall  f1-score   support

 BFS-EQ-16-0       0.75      0.29      0.42 17739.90000000013
 DFS-ES-16-0       0.24      0.92      0.39 17739.90000000042
 BFS-EQ-64-0       0.62      0.19      0.29 17739.89999999484
  DFS-LL-0-0       0.36      0.84      0.51 17739.899999999958
DFS-ES-256-0       0.76      0.11      0.19 17739.900000000027
 DFS-ES-64-0       0.78      0.09      0.16 17739.899999997255
BFS-EQ-256-0       0.85      0.33      0.47 17739.899999995116
  BFS-AD-0-0       0.33      0.40      0.36 17739.900000029746
  BFS-LL-0-0       0.51      0.62      0.56 17739.90000000056
  DFS-AD-0-0       0.71      0.09      0.16 17739.89999999994

    accuracy                           0.39 177399.00000001796
   macro avg       0.59      0.39      0.35 177399.00000001796
weighted avg       0.59      0.39      0.35 177399.00000001796
