Feature,gain,cover,total_gain,total_cover,weight
number of nodes,3.7999534606933594,29538.009765625,123570.6875,960546560.0,32519.0
avg in degree,0.4735563397407532,7791.46728515625,7350.06787109375,120931360.0,15521.0
number of non binary splits,0.43034836649894714,53801.5,336.9627685546875,42126576.0,783.0
ratio nodes edges,0.3594096601009369,414.8993835449219,5061.92578125,5843443.0,14084.0
ratio edges nodes,0.31606534123420715,20546.6015625,1723.8204345703125,112061168.0,5454.0
coefficient variation out degrees,0.3035823702812195,529.8517456054688,5246.5107421875,9156898.0,17282.0
entropy of distributions out degrees,0.3034733235836029,2872.72314453125,6388.4169921875,60473696.0,21051.0
entropy of distributions in degrees,0.2920728921890259,2818.9462890625,9302.521484375,89783440.0,31850.0
max degree,0.27477335929870605,18423.171875,2862.314208984375,191914176.0,10417.0
avg degree,0.2390551120042801,6955.18603515625,3205.72900390625,93269048.0,13410.0
max in degree,0.23875011503696442,15596.53125,1666.714599609375,108879384.0,6981.0
coefficient variation in degrees,0.23382116854190826,6805.1591796875,6896.087890625,200704560.0,29493.0
entropy of distributions degrees,0.23306787014007568,5318.07275390625,11651.529296875,265861088.0,49992.0
coefficient variation degrees,0.22884473204612732,6239.537109375,8742.09765625,238356560.0,38201.0
min degree,0.22709494829177856,3224.940185546875,419.8985595703125,5962914.5,1849.0
width,0.21278385818004608,12828.8203125,10130.4267578125,610767296.0,47609.0
depth,0.19058747589588165,15108.08203125,17415.12109375,1380516096.0,91376.0
avg cardinality including binary splits,0.17656521499156952,60743.703125,125.53787231445312,43188772.0,711.0
number of binary splits,0.16892744600772858,31080.783203125,2038.7852783203125,375113984.0,12069.0
number of edges,0.10928215831518173,36959.109375,2317.109619140625,783644032.0,21203.0
total number of splits,0.10881207138299942,48981.35546875,652.2195434570312,293594240.0,5994.0
max cardinality,0.0985676646232605,59177.98046875,184.321533203125,110662824.0,1870.0
avg cardinality excluding binary splits,0.038150738924741745,61862.54296875,67.83201599121094,109991600.0,1778.0
