Feature,gain,cover,total_gain,total_cover,weight
number of nodes,1353.5758056640625,44102.9765625,94750.3046875,3087208.25,70.0
avg in degree,24.870128631591797,37113.00390625,1591.688232421875,2375232.25,64.0
entropy of distributions out degrees,12.210159301757812,13887.259765625,1196.5955810546875,1360951.5,98.0
number of edges,9.853208541870117,26415.30859375,374.42193603515625,1003781.75,38.0
coefficient variation degrees,9.218810081481934,16716.185546875,848.1305541992188,1537889.0,92.0
total number of splits,8.67323112487793,37358.48828125,208.1575469970703,896603.75,24.0
coefficient variation in degrees,8.399563789367676,38321.0078125,470.37554931640625,2145976.5,56.0
entropy of distributions in degrees,8.042823791503906,15786.9306640625,772.111083984375,1515545.375,96.0
min degree,7.337131500244141,685.006103515625,58.697052001953125,5480.048828125,8.0
number of binary splits,7.2897868156433105,27481.337890625,204.11402893066406,769477.4375,28.0
entropy of distributions degrees,7.214954853057861,23745.166015625,865.7945556640625,2849420.0,120.0
depth,7.159346103668213,37580.953125,1260.044921875,6614248.0,176.0
ratio edges nodes,7.030856609344482,39567.625,393.72796630859375,2215787.0,56.0
ratio nodes edges,6.8650803565979,21208.650390625,192.2222442626953,593842.1875,28.0
avg degree,6.846499443054199,33506.890625,287.552978515625,1407289.375,42.0
width,6.813565254211426,31234.57421875,763.1193237304688,3498272.25,112.0
max degree,6.178522109985352,30221.1640625,135.927490234375,664865.625,22.0
coefficient variation out degrees,5.836669921875,26537.5234375,245.14013671875,1114576.0,42.0
avg cardinality excluding binary splits,5.396395206451416,41578.98828125,53.963951110839844,415789.875,10.0
number of non binary splits,5.3200602531433105,47362.99609375,63.840721130371094,568355.9375,12.0
avg cardinality including binary splits,4.269919395446777,55923.27734375,68.31871032714844,894772.4375,16.0
max in degree,4.103516101837158,62766.90234375,57.44922637939453,878736.625,14.0
max cardinality,2.4349987506866455,49509.1640625,102.26994323730469,2079384.875,42.0
